"","id","submitdate","lastpage","startlanguage","informedConsent","noConsentReason","practiceBehavior_intention","practiceBehavior_attInstrumental","practiceBehavior_attExperiential","practiceBehavior_pnInjunctive","practiceBehavior_pnDescriptive","practiceBehavior_pbcCapacity","practiceBehavior_pbcControl","coffee_intention","coffee_attInstrumental","coffee_attExperiential","coffee_pnInjunctive","coffee_pnDescriptive","coffee_pbcCapacity","coffee_pbcControl","publicTransport_intention","publicTransport_attInstrumental","publicTransport_attExperiential","publicTransport_pnInjunctive","publicTransport_pnDescriptive","publicTransport_pbcCapacity","publicTransport_pbcControl","runRedLight_intention","runRedLight_attInstrumental","runRedLight_attExperiential","runRedLight_pnInjunctive","runRedLight_pnDescriptive","runRedLight_pbcCapacity","runRedLight_pbcControl","wasteSeparation_intention","wasteSeparation_attInstrumental","wasteSeparation_attExperiential","wasteSeparation_pnInjunctive","wasteSeparation_pnDescriptive","wasteSeparation_pbcCapacity","wasteSeparation_pbcControl","conSomebody_intention","conSomebody_attInstrumental","conSomebody_attExperiential","conSomebody_pnInjunctive","conSomebody_pnDescriptive","conSomebody_pbcCapacity","conSomebody_pbcControl","marathon_intention","marathon_attInstrumental","marathon_attExperiential","marathon_pnInjunctive","marathon_pnDescriptive","marathon_pbcCapacity","marathon_pbcControl","longShower_intention","longShower_attInstrumental","longShower_attExperiential","longShower_pnInjunctive","longShower_pnDescriptive","longShower_pbcCapacity","longShower_pbcControl","brushingTeeth_intention","brushingTeeth_attInstrumental","brushingTeeth_attExperiential","brushingTeeth_pnInjunctive","brushingTeeth_pnDescriptive","brushingTeeth_pbcCapacity","brushingTeeth_pbcControl","age","sex","sex_other","education","education_other","region","Totaaltijd","Groep.tijd..Toestemmingsverklaring","Vraagtijd..informedConsent","Groep.tijd..Geen.toestemming.gegeven.voor.deelname","Vraagtijd..noConsentReason","Groep.tijd..Oefenvraag..de.komende.minuten.een.vragenlijst.invullen","Vraagtijd..practiceBehavior","Groep.tijd..De.komende.maand.helemaal.geen.koffie.drinken","Vraagtijd..coffee","Groep.tijd..De.komende.maand.vooral.met.het.openbaar.vervoer.reizen","Vraagtijd..publicTransport","Groep.tijd..De.komende.maand.soms.door.rood.licht.fietsen","Vraagtijd..runRedLight","Groep.tijd..De.komende.maand.afval.altijd.nauwkeurig.scheiden","Vraagtijd..wasteSeparation","Groep.tijd..De.komende.maand.iemand.voor.10.000.euro.oplichten","Vraagtijd..conSomebody","Groep.tijd..De.komende.maand.een.marathon.uitlopen","Vraagtijd..marathon","Groep.tijd..De.komende.maand.vaak.extra.lang.douchen","Vraagtijd..longShower","Groep.tijd..De.komende.maand.elke.dag.je.tanden.poetsen","Vraagtijd..brushingTeeth","Groep.tijd..Algemene.informatie","Vraagtijd..age","Vraagtijd..sex","Vraagtijd..education","Vraagtijd..region"
"21",46,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,1,5,5,1,1,1,5,1,3,5,1,1,1,5,1,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,34,"Man",NA,"HBO",NA,88,232.53,12.62,NA,NA,NA,27.99,NA,17.48,NA,24.6,NA,15.33,NA,13.3,NA,30.68,NA,13.26,NA,13.86,NA,35.19,NA,28.22,NA,NA,NA,NA
"22",47,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,1,3,3,1,3,5,3,4,5,3,5,3,3,5,1,1,1,1,1,1,5,4,4,4,4,2,3,5,1,1,3,1,1,1,5,5,5,5,5,5,5,5,36,"Vrouw",NA,"HBO",NA,22,448.79,35.68,NA,NA,NA,47.1,NA,50.46,NA,28.78,NA,70.19,NA,40.81,NA,38.77,NA,42.46,NA,37.62,NA,20.97,NA,35.95,NA,NA,NA,NA
"23",48,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,4,5,5,5,4,1,2,2,5,3,5,5,4,4,4,5,3,5,5,1,1,1,1,3,1,5,4,5,5,5,3,4,4,1,1,1,3,3,1,5,1,1,1,3,1,1,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,55,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,26,1739.1,52.53,NA,NA,NA,270,NA,154.6,NA,118.03,NA,202.07,NA,151.37,NA,291.55,NA,119.97,NA,119.57,NA,112.16,NA,147.25,NA,NA,NA,NA
"24",49,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,3,4,2,5,5,1,4,3,3,3,4,5,1,3,3,3,3,4,5,3,3,3,2,2,5,5,4,4,4,5,3,5,5,1,1,1,1,1,3,5,1,1,1,1,1,1,5,3,4,4,3,2,5,5,5,5,4,4,5,5,5,61,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,52,486.14,19.56,NA,NA,NA,53.21,NA,35.89,NA,62.1,NA,46.67,NA,60.34,NA,43.61,NA,32.91,NA,32.53,NA,66.78,NA,32.54,NA,NA,NA,NA
"25",50,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,4,2,5,4,1,2,2,3,2,4,4,3,4,3,4,3,4,3,1,1,1,2,2,4,4,5,4,3,4,3,5,5,1,2,2,1,2,2,4,1,1,1,4,1,2,3,2,2,3,2,2,4,5,5,5,4,5,4,5,5,31,"Man",NA,"HBO",NA,NA,371.89,10.12,NA,NA,NA,41.62,NA,29.88,NA,58.22,NA,34.39,NA,28.12,NA,48.25,NA,28.51,NA,36.13,NA,23.28,NA,33.37,NA,NA,NA,NA
"26",51,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,3,3,4,5,5,5,5,4,2,5,5,2,2,3,5,3,5,5,4,2,3,2,3,5,5,1,3,3,4,3,5,5,1,1,1,1,1,1,5,1,1,1,3,2,1,5,3,1,5,2,3,5,5,5,5,5,5,5,5,5,32,"Man",NA,"HAVO / VWO",NA,12,412.12,40.86,NA,NA,NA,55.96,NA,44.96,NA,49.23,NA,43.68,NA,32.38,NA,26.41,NA,31.44,NA,29.82,NA,26.06,NA,31.32,NA,NA,NA,NA
"27",53,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,5,5,5,1,1,1,5,3,3,5,2,3,2,5,3,4,5,4,4,3,2,4,4,5,5,5,5,5,4,5,5,1,1,1,1,1,1,5,1,1,1,5,1,2,5,1,1,3,1,2,5,5,5,5,5,5,5,5,5,55,"Vrouw",NA,"HBO",NA,23,384.04,32.39,NA,NA,NA,42.35,NA,35.34,NA,60.58,NA,37.82,NA,30.42,NA,27.41,NA,31.49,NA,32.42,NA,26.08,NA,27.74,NA,NA,NA,NA
"28",54,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,3,5,1,4,5,1,4,2,5,3,2,5,4,2,3,5,3,3,5,3,3,3,2,4,4,5,3,4,2,5,4,4,5,1,1,1,1,1,2,5,1,2,1,5,1,1,5,2,2,4,3,3,5,5,5,5,5,5,3,5,5,25,"Vrouw",NA,"HBO",NA,10,804.52,68.75,NA,NA,NA,70.41,NA,68.1,NA,36.54,NA,76.81,NA,38.19,NA,120.77,NA,188.02,NA,59.78,NA,39.53,NA,37.62,NA,NA,NA,NA
"29",55,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,4,1,5,5,1,4,2,3,2,4,5,5,5,5,3,4,5,4,1,3,3,3,5,4,5,2,5,2,3,2,5,5,1,3,3,3,2,2,3,1,5,3,3,2,5,5,1,3,3,3,3,5,5,5,5,5,5,5,5,5,29,"Man",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,20,417.26,8.31,NA,NA,NA,60.69,NA,40.3,NA,34.68,NA,47.24,NA,35.64,NA,47.39,NA,36.79,NA,37.98,NA,29.99,NA,38.25,NA,NA,NA,NA
"30",56,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,4,1,5,5,4,5,4,3,3,4,5,1,3,1,1,1,3,3,1,1,1,1,1,5,3,4,4,4,4,3,4,4,1,1,1,1,1,1,4,1,1,1,1,1,2,4,1,1,2,2,2,3,3,5,5,5,5,5,5,5,35,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,29,1519.85,33.94,NA,NA,NA,41.05,NA,177.86,NA,58.38,NA,47.07,NA,423.94,NA,421.09,NA,43.64,NA,53.9,NA,27.72,NA,191.26,NA,NA,NA,NA
